ExpressionPattern.pattern	ExpressionPattern.primaryIdentifier	ExpressionPattern.remark	ExpressionPattern.reporterGene	ExpressionPattern.subcellularLocalization	ExpressionPattern.anatomyTerms.name	ExpressionPattern.anatomyTerms.synonym	ExpressionPattern.anatomyTerms.definition	ExpressionPattern.anatomyTerms.primaryIdentifier	ExpressionPattern.genes.symbol	ExpressionPattern.genes.primaryIdentifier	ExpressionPattern.genes.organism.species
A presynaptic marker that is specifically expressed in inhibitory GABAergic neurons.	Marker69	Picture: Figure 8B.	""	synapses	GABAergic neuron	""	neuron that uses GABA as a vesicular neurotransmitter.	WBbt:0005190	sng-1	WBGene00004912	elegans
Constantly expressed both fluorescent proteins in the body wall muscle cells.	Marker80	Picture: Figure 1.	""	The proteins were co-localized in intracellular tubular structures, which correspond to mitochondria in C. elegans body wall muscle cells.	body wall musculature	body muscle	Longitudinal bands of muscle cells surrounding animal body, with one band running in each quadrant of the body, regulated contraction and relaxation of these muscles cause locomotion.	WBbt:0005813	myo-3	WBGene00003515	elegans
Expressed ASE and AWC neurons.	Marker15	Picture: Figure 1a.	""	""	ASEL	lineage name: ABalppppppaa	one member of Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil	WBbt:0003904	ceh-36	WBGene00000457	elegans
Expressed ASE and AWC neurons.	Marker15	Picture: Figure 1a.	""	""	ASER	lineage name: ABpraaapppaa	one member of Amphid neurons, single ciliated endings, probably chemo-sensory; project into ring via commissure from ventral ganglion, make diverse synaptic connections in ring neuropil	WBbt:0003903	ceh-36	WBGene00000457	elegans
Expressed ASE and AWC neurons.	Marker15	Picture: Figure 1a.	""	""	AWCL	lineage name: ABplpaaaaap	Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath	WBbt:0003827	ceh-36	WBGene00000457	elegans
Expressed ASE and AWC neurons.	Marker15	Picture: Figure 1a.	""	""	AWCR	lineage name: ABprpaaaaap	Amphid wing cells, neurons having ciliated sheet-like sensory endings closely associated with amphid sheath	WBbt:0003826	ceh-36	WBGene00000457	elegans
Expressed in ADL neurons.	Marker59	Picture: N.A.    Reporter gene fusion type not specified.	""	""	ADLL	lineage name: ABalppppaad	Amphid neuron, prob. chemosensory	WBbt:0003997	sre-1	WBGene00005149	elegans
Expressed in ADL neurons.	Marker59	Picture: N.A.    Reporter gene fusion type not specified.	""	""	ADLR	lineage name: ABpraaapaad	Amphid neuron, prob. chemosensory	WBbt:0003995	sre-1	WBGene00005149	elegans
Expressed in AFD neurons.	Marker58	Picture: N.A.    Reporter gene fusion type not specified.	""	""	AFDL	lineage name: ABalpppapav	Amphid finger cell, neuron associated with amphid sheath	WBbt:0003993	gcy-8	WBGene00001535	elegans
Expressed in AFD neurons.	Marker58	Picture: N.A.    Reporter gene fusion type not specified.	""	""	AFDR	lineage name: ABpraaaapav	Amphid finger cell, neuron associated with amphid sheath	WBbt:0003991	gcy-8	WBGene00001535	elegans
